95,President,99906,99,0,USA,100,0,0,"CARTER, James Earl, Jr.",,1924,,-0.504,0.119,-138.80419,0.712,408,59,,,
95,Senate,8764,41,0,AL,100,0,1,"SPARKMAN, John Jackson",S000701,1899,1985.0,-0.204,0.795,-418.23824,0.621,878,206,,-0.227,0.413
95,Senate,12100,41,0,AL,100,1,1,"ALLEN, James Browning",A000127,1912,1978.0,0.016,1.0,-223.75898,0.729,709,97,,0.08,0.997
95,Senate,14517,41,0,AL,100,2,5,"ALLEN, Maryon Pittman",A000139,1925,2018.0,0.128,0.452,-71.09985,0.671,178,38,,0.119,0.49
95,Senate,12105,81,0,AK,100,0,1,"GRAVEL, Maurice Robert (Mike)",G000388,1930,2021.0,-0.284,0.078,-344.63243,0.665,846,172,,-0.163,-0.144
95,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-391.68386,0.673,990,180,,0.259,-0.488
95,Senate,3658,61,0,AZ,200,0,1,"GOLDWATER, Barry Morris",G000267,1909,1998.0,0.641,-0.289,-190.44081,0.776,750,96,,0.635,-0.39
95,Senate,14502,61,0,AZ,100,0,1,"DeCONCINI, Dennis Webster",D000185,1937,,-0.216,0.564,-485.85246,0.609,980,251,,-0.224,0.566
95,Senate,6151,42,0,AR,100,1,1,"McCLELLAN, John Little",M000332,1896,1977.0,0.017,0.962,-41.932,0.738,138,21,,0.069,0.903
95,Senate,14300,42,0,AR,100,0,1,"BUMPERS, Dale",B001057,1925,2016.0,-0.362,0.389,-365.13075,0.672,920,168,,-0.382,0.43
95,Senate,14514,42,0,AR,100,2,5,"HODGES, Kaneaster, Jr.",H000675,1938,,-0.393,0.766,-165.26914,0.683,433,75,,-0.377,0.705
95,Senate,12103,71,0,CA,100,0,1,"CRANSTON, Alan",C000877,1914,2000.0,-0.387,-0.207,-288.75675,0.742,967,134,,-0.372,-0.166
95,Senate,14504,71,0,CA,200,0,1,"HAYAKAWA, Samuel Ichiye",H000384,1906,1992.0,0.433,-0.602,-368.70978,0.666,908,185,,0.41,-0.624
95,Senate,14104,62,0,CO,100,0,1,"HASKELL, Floyd Kirk",H000317,1916,1998.0,-0.465,0.416,-273.78414,0.687,730,127,,-0.388,0.279
95,Senate,14305,62,0,CO,100,0,1,"HART, Gary Warren",H000287,1936,,-0.422,0.087,-327.80872,0.715,977,147,,-0.431,0.163
95,Senate,7847,1,0,CT,100,0,1,"RIBICOFF, Abraham Alexander",R000191,1910,1998.0,-0.313,-0.328,-278.54305,0.753,984,131,,-0.344,-0.459
95,Senate,12032,1,0,CT,200,0,1,"WEICKER, Lowell Palmer, Jr.",W000253,1931,,0.072,-0.995,-391.56082,0.642,883,191,,0.076,-0.997
95,Senate,11044,11,0,DE,200,0,1,"ROTH, William Victor, Jr.",R000460,1921,2003.0,0.272,-0.39,-453.30559,0.632,987,206,,0.366,-0.4
95,Senate,14101,11,0,DE,100,0,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-468.61361,0.597,909,213,,-0.429,0.304
95,Senate,13101,43,0,FL,100,0,1,"CHILES, Lawton Mainor, Jr.",C000356,1930,1998.0,-0.224,0.555,-423.18318,0.657,1007,197,,-0.175,0.448
95,Senate,14309,43,0,FL,100,0,1,"STONE, Richard Bernard",S000962,1928,2019.0,-0.169,0.55,-438.38814,0.641,986,215,,-0.103,0.267
95,Senate,9174,44,0,GA,100,0,1,"TALMADGE, Herman Eugene",T000035,1913,2002.0,-0.091,0.996,-345.51032,0.681,899,172,,-0.184,0.983
95,Senate,14108,44,0,GA,100,0,1,"NUNN, Samuel Augustus",N000171,1938,,-0.145,0.754,-363.54857,0.691,982,169,,-0.162,0.896
95,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-243.3761,0.743,820,108,,-0.345,-0.059
95,Senate,10605,82,0,HI,100,0,1,"MATSUNAGA, Spark Masayuki",M000250,1916,1990.0,-0.379,-0.032,-289.63295,0.743,977,128,,-0.322,-0.075
95,Senate,1721,63,0,ID,100,0,1,"CHURCH, Frank Forrester",C000388,1924,1984.0,-0.384,0.31,-339.49418,0.697,940,156,,-0.369,0.286
95,Senate,11029,63,0,ID,200,0,1,"McCLURE, James Albertus",M000346,1924,2011.0,0.492,0.043,-214.62478,0.775,844,93,,0.53,-0.123
95,Senate,11205,21,0,IL,200,0,1,"PERCY, Charles Harting",P000222,1919,2011.0,0.099,-0.861,-333.67458,0.688,893,146,,0.014,-0.827
95,Senate,13102,21,0,IL,100,0,1,"STEVENSON, Adlai Ewing III",S000890,1930,2021.0,-0.333,-0.177,-353.27937,0.683,925,162,,-0.277,-0.18
95,Senate,10800,22,0,IN,100,0,1,"BAYH, Birch Evans",B000254,1928,2019.0,-0.408,0.042,-279.21799,0.749,966,110,,-0.41,-0.156
95,Senate,14506,22,0,IN,200,0,1,"LUGAR, Richard Green",L000504,1932,2019.0,0.304,-0.466,-366.63096,0.7,1027,165,,0.402,-0.533
95,Senate,10715,31,0,IA,100,0,1,"CULVER, John Chester",C000979,1932,2018.0,-0.41,-0.259,-225.73755,0.797,997,97,,-0.492,-0.217
95,Senate,14102,31,0,IA,100,0,1,"CLARK, Richard Clarence (Dick)",C000448,1928,,-0.55,-0.082,-208.47475,0.814,1016,86,,-0.532,-0.11
95,Senate,10513,32,0,KS,200,0,1,"DOLE, Robert Joseph",D000401,1923,2021.0,0.322,-0.279,-337.69848,0.714,1001,160,,0.277,-0.303
95,Senate,10817,32,0,KS,200,0,1,"PEARSON, James Blackwood",P000166,1920,2009.0,0.134,-0.47,-338.07437,0.667,836,164,,0.056,-0.576
95,Senate,14106,51,0,KY,100,0,1,"HUDDLESTON, Walter Darlington",H000905,1926,2018.0,-0.314,0.532,-341.6675,0.675,870,145,,-0.289,0.524
95,Senate,14302,51,0,KY,100,0,1,"FORD, Wendell Hampton",F000268,1924,2015.0,-0.277,0.705,-388.62018,0.67,970,188,,-0.168,0.509
95,Senate,5767,45,0,LA,100,0,1,"LONG, Russell Billiu",L000428,1918,2003.0,-0.18,0.873,-378.90094,0.654,891,197,,-0.181,0.695
95,Senate,14107,45,0,LA,100,0,1,"JOHNSTON, John Bennett, Jr.",J000189,1932,,-0.192,0.765,-300.39944,0.697,832,133,,-0.164,0.876
95,Senate,6831,2,0,ME,100,0,1,"MUSKIE, Edmund Sixtus",M001121,1914,1996.0,-0.379,-0.052,-317.27983,0.713,939,151,,-0.429,0.06
95,Senate,10736,2,0,ME,100,0,1,"HATHAWAY, William Dodd",H000346,1924,2013.0,-0.465,-0.04,-233.24478,0.764,866,93,,-0.469,-0.223
95,Senate,10535,52,0,MD,200,0,1,"MATHIAS, Charles McCurdy, Jr.",M000241,1922,2010.0,-0.033,-0.999,-252.62613,0.747,867,123,,-0.078,-0.997
95,Senate,13039,52,0,MD,100,0,1,"SARBANES, Paul Spyros",S000064,1933,2020.0,-0.435,-0.221,-219.14299,0.804,1003,89,,-0.461,-0.194
95,Senate,10808,3,0,MA,100,0,1,"KENNEDY, Edward Moore (Ted)",K000105,1932,2009.0,-0.443,-0.49,-173.51004,0.83,929,69,,-0.548,-0.448
95,Senate,11201,3,0,MA,200,0,1,"BROOKE, Edward William, III",B000871,1919,2015.0,-0.1,-0.995,-399.98764,0.633,875,160,,-0.112,-0.994
95,Senate,3824,23,0,MI,200,0,1,"GRIFFIN, Robert Paul",G000465,1923,2015.0,0.327,-0.68,-294.43142,0.674,745,144,,0.327,-0.568
95,Senate,11043,23,0,MI,100,0,1,"RIEGLE, Donald Wayne, Jr.",R000249,1938,,-0.426,-0.121,-289.44869,0.748,998,125,,-0.484,-0.201
95,Senate,4728,33,0,MN,100,1,1,"HUMPHREY, Hubert Horatio, Jr.",H000953,1911,1978.0,-0.397,-0.093,-122.41212,0.782,498,47,,-0.396,-0.142
95,Senate,14513,33,0,MN,100,2,5,"ANDERSON, Wendell Richard",A000202,1933,2016.0,-0.466,-0.044,-214.58989,0.774,839,104,,-0.469,-0.022
95,Senate,14516,33,0,MN,100,2,5,"HUMPHREY, Muriel Buck",H000956,1912,1998.0,-0.456,-0.206,-69.55636,0.845,414,26,,-0.461,-0.171
95,Senate,2822,46,0,MS,100,0,1,"EASTLAND, James Oliver",E000018,1904,1986.0,0.024,1.0,-238.33644,0.735,773,104,,-0.024,1.0
95,Senate,8883,46,0,MS,100,0,1,"STENNIS, John Cornelius",S000852,1901,1995.0,-0.056,0.998,-260.4891,0.731,832,113,,-0.045,0.999
95,Senate,12104,34,0,MO,100,0,1,"EAGLETON, Thomas Francis",E000004,1929,2007.0,-0.38,0.209,-347.58126,0.695,954,170,,-0.308,0.142
95,Senate,14501,34,0,MO,200,0,1,"DANFORTH, John Claggett",D000030,1936,,0.196,-0.641,-412.56678,0.664,1008,219,,0.16,-0.565
95,Senate,6442,64,0,MT,100,1,1,"METCALF, Lee Warren",M000671,1911,1978.0,-0.483,0.379,-152.19582,0.62,318,67,,-0.586,0.573
95,Senate,12039,64,0,MT,100,0,1,"MELCHER, John",M000635,1924,2018.0,-0.329,0.398,-494.30145,0.602,974,254,,-0.233,0.446
95,Senate,14515,64,0,MT,100,2,5,"HATFIELD, Paul Gerhart",H000344,1928,2000.0,-0.329,0.512,-169.63038,0.643,384,89,,-0.325,0.499
95,Senate,2267,35,0,NE,200,0,1,"CURTIS, Carl Thomas",C001006,1905,2000.0,0.492,-0.004,-206.65082,0.803,940,80,,0.52,0.118
95,Senate,14512,35,0,NE,100,0,1,"ZORINSKY, Edward",Z000013,1928,1987.0,-0.095,0.995,-480.86048,0.627,1030,236,,-0.176,0.984
95,Senate,1482,65,0,NV,100,0,1,"CANNON, Howard Walter",C000120,1912,2002.0,-0.211,0.495,-434.6462,0.638,966,229,,-0.215,0.717
95,Senate,14077,65,0,NV,200,0,1,"LAXALT, Paul Dominque",L000148,1922,2018.0,0.49,-0.146,-218.8878,0.786,907,94,,0.543,-0.051
95,Senate,10810,4,0,NH,100,0,1,"McINTYRE, Thomas James",M000486,1915,1992.0,-0.279,0.068,-368.00112,0.662,892,179,,-0.37,0.144
95,Senate,14310,4,0,NH,100,0,1,"DURKIN, John Anthony",D000574,1936,2012.0,-0.43,0.171,-443.14591,0.638,985,223,,-0.479,0.333
95,Senate,1569,12,0,NJ,200,0,1,"CASE, Clifford Philip",C000220,1904,1982.0,-0.108,-0.994,-254.62473,0.772,986,101,,-0.227,-0.974
95,Senate,10147,12,0,NJ,100,0,1,"WILLIAMS, Harrison Arlington, Jr.",W000502,1919,2001.0,-0.344,-0.381,-224.41656,0.799,999,91,,-0.314,-0.523
95,Senate,14103,66,0,NM,200,0,1,"DOMENICI, Pete Vichi",D000407,1932,2017.0,0.257,-0.247,-280.80141,0.727,879,126,,0.259,-0.14
95,Senate,14510,66,0,NM,200,0,1,"SCHMITT, Harrison Hagan",S000132,1935,,0.377,-0.455,-322.76272,0.72,984,148,,0.434,-0.533
95,Senate,4898,13,0,NY,200,0,1,"JAVITS, Jacob Koppel",J000064,1904,1986.0,-0.124,-0.992,-229.89814,0.786,954,89,,-0.171,-0.985
95,Senate,14508,13,0,NY,100,0,1,"MOYNIHAN, Daniel Patrick",M001054,1927,2003.0,-0.301,-0.414,-297.17718,0.732,951,139,,-0.286,-0.37
95,Senate,14105,47,0,NC,200,0,1,"HELMS, Jesse",H000463,1921,2008.0,0.631,0.776,-172.98158,0.836,965,76,,0.577,0.711
95,Senate,14308,47,0,NC,100,0,1,"MORGAN, Robert Burren",M000956,1925,2016.0,-0.237,0.894,-570.21129,0.563,992,297,,-0.277,0.961
95,Senate,1252,36,0,ND,100,0,1,"BURDICK, Quentin Northrup",B001077,1908,1992.0,-0.371,0.42,-500.35073,0.607,1002,246,,-0.261,0.602
95,Senate,10450,36,0,ND,200,0,1,"YOUNG, Milton Ruben",Y000047,1897,1983.0,0.172,0.187,-271.7527,0.722,835,112,,0.18,0.216
95,Senate,14073,24,0,OH,100,0,1,"METZENBAUM, Howard Morton",M000678,1917,2008.0,-0.492,-0.266,-316.74023,0.734,1023,137,,-0.517,-0.224
95,Senate,14304,24,0,OH,100,0,1,"GLENN, John Herschel, Jr.",G000236,1921,2016.0,-0.262,-0.067,-381.54271,0.69,1027,190,,-0.203,-0.052
95,Senate,12101,53,0,OK,200,0,1,"BELLMON, Henry Louis",B000351,1921,2009.0,0.307,-0.47,-454.72905,0.616,939,238,,0.324,-0.752
95,Senate,14100,53,0,OK,200,0,1,"BARTLETT, Dewey Follett",B000200,1919,1979.0,0.433,0.069,-200.33578,0.791,854,91,,0.441,0.017
95,Senate,11203,72,0,OR,200,0,1,"HATFIELD, Mark Odom",H000343,1922,2011.0,0.056,-0.773,-499.40169,0.605,995,237,,0.075,-0.688
